timestamp_epoch,seq,byte_hex,byte_bin_msb,byte_bin_lsb_temporal,uart_frame_reconstruido
1776099589.984879,348,98,10011000,00011001,0 00011001 1
1776099589.984906,349,E0,11100000,00000111,0 00000111 1
1776099589.984935,350,18,00011000,00011000,0 00011000 1
1776099589.984963,351,E0,11100000,00000111,0 00000111 1
1776099589.984992,352,18,00011000,00011000,0 00011000 1
1776099589.985019,353,E0,11100000,00000111,0 00000111 1
1776099589.985048,354,18,00011000,00011000,0 00011000 1
1776099589.985076,355,E0,11100000,00000111,0 00000111 1
1776099589.985105,356,98,10011000,00011001,0 00011001 1
1776099589.992687,357,1E,00011110,01111000,0 01111000 1
1776099589.992787,358,18,00011000,00011000,0 00011000 1
1776099589.992848,359,06,00000110,01100000,0 01100000 1
1776099589.992905,360,FE,11111110,01111111,0 01111111 1
1776099600.010728,361,00,00000000,00000000,0 00000000 1
1776099600.010834,362,18,00011000,00011000,0 00011000 1
1776099600.010869,363,E0,11100000,00000111,0 00000111 1
1776099600.010897,364,18,00011000,00011000,0 00011000 1
1776099600.010926,365,E0,11100000,00000111,0 00000111 1
1776099600.010953,366,98,10011000,00011001,0 00011001 1
1776099600.010980,367,E0,11100000,00000111,0 00000111 1
1776099600.011006,368,98,10011000,00011001,0 00011001 1
1776099600.011033,369,E0,11100000,00000111,0 00000111 1
1776099600.011060,370,18,00011000,00011000,0 00011000 1
1776099600.011087,371,E0,11100000,00000111,0 00000111 1
1776099600.011113,372,18,00011000,00011000,0 00011000 1
1776099600.011139,373,E0,11100000,00000111,0 00000111 1
1776099600.011165,374,18,00011000,00011000,0 00011000 1
1776099600.011192,375,E0,11100000,00000111,0 00000111 1
1776099600.011219,376,98,10011000,00011001,0 00011001 1
1776099600.018429,377,1E,00011110,01111000,0 01111000 1
1776099600.018543,378,18,00011000,00011000,0 00011000 1
1776099600.018584,379,06,00000110,01100000,0 01100000 1
1776099600.018621,380,FE,11111110,01111111,0 01111111 1
1776099610.037571,381,00,00000000,00000000,0 00000000 1
1776099610.037686,382,18,00011000,00011000,0 00011000 1
1776099610.037719,383,E0,11100000,00000111,0 00000111 1
1776099610.037748,384,18,00011000,00011000,0 00011000 1
1776099610.037777,385,E0,11100000,00000111,0 00000111 1
1776099610.037806,386,98,10011000,00011001,0 00011001 1
1776099610.037834,387,E0,11100000,00000111,0 00000111 1
1776099610.037862,388,98,10011000,00011001,0 00011001 1
1776099610.037890,389,E0,11100000,00000111,0 00000111 1
1776099610.037918,390,18,00011000,00011000,0 00011000 1
1776099610.037947,391,E0,11100000,00000111,0 00000111 1
1776099610.037975,392,18,00011000,00011000,0 00011000 1
1776099610.038002,393,E0,11100000,00000111,0 00000111 1
1776099610.038030,394,18,00011000,00011000,0 00011000 1
1776099610.038059,395,E0,11100000,00000111,0 00000111 1
1776099610.038087,396,98,10011000,00011001,0 00011001 1
1776099610.045683,397,1E,00011110,01111000,0 01111000 1
1776099610.045780,398,18,00011000,00011000,0 00011000 1
1776099610.045846,399,06,00000110,01100000,0 01100000 1
1776099610.045896,400,FE,11111110,01111111,0 01111111 1
1776099620.066944,401,00,00000000,00000000,0 00000000 1
1776099620.067058,402,18,00011000,00011000,0 00011000 1
1776099620.067098,403,E0,11100000,00000111,0 00000111 1
1776099620.067129,404,18,00011000,00011000,0 00011000 1
1776099620.067159,405,E0,11100000,00000111,0 00000111 1
1776099620.067188,406,98,10011000,00011001,0 00011001 1
